MID;TITLE;YEAR;GENRES
1809;Fireproof;2008;Drama,Romance,
1246;Firewall;2006;Thriller,Crime,
1282;Flags of Our Fathers;2006;Drama,History,War,
1672;Flammen & Citronen;2008;Drama,History,War,Thriller,
1876;Flickan som lekte med elden;2009;Drama,Mystery,Thriller,Crime,
1137;Flight of the Phoenix;2004;Drama,Adventure,Action,Thriller,
1248;Flightplan;2005;Drama,Action,Mystery,Thriller,
1507;Fly Me to the Moon;2008;Animation,Adventure,Family,
1400;Flyboys;2006;Drama,History,War,Adventure,Action,Romance,
1771;Footloose;2011;Comedy,Drama,Romance,Music,
2104;For Greater Glory: The True Story of Cristiada;2012;Drama,History,War,
2327;Force;2011;Drama,Action,Romance,Thriller,Crime,
1577;Forgetting Sarah Marshall;2008;Comedy,Drama,Romance,
1319;Four Brothers;2005;Drama,Action,Mystery,Thriller,Crime,
1103;Four Christmases;2008;Comedy,Drama,Romance,
1793;Foxcatcher;2014;Drama,Biography,Sport,
1825;Frankenweenie;2012;Comedy,Animation,Horror,Sci_Fi,Family,
950;Freaky Friday;2003;Comedy,Family,Fantasy,
1510;Fred Claus;2007;Comedy,Family,Fantasy,
977;Freddy vs. Jason;2003;Horror,Thriller,
2155;Free Birds;2013;Comedy,Animation,Adventure,Family,
1352;Free Zone;2005;Comedy,Drama,
1439;Freedom Writers;2007;Drama,Biography,Crime,
585;Frequency;2000;Drama,Sci_Fi,Thriller,Crime,
388;Frida;2002;Drama,Biography,Romance,
1545;Friday the 13th;2009;Horror,
389;From Hell;2001;Horror,Mystery,Thriller,
1839;From Paris with Love;2010;Action,Thriller,
1707;Frozen River;2008;Drama,Crime,
2191;Fun Size;2012;Comedy,Adventure,
1104;Fun with Dick and Jane;2005;Comedy,Crime,
1860;Funny People;2009;Comedy,Drama,
1300;Fur: An Imaginary Portrait of Diane Arbus;2006;Drama,Biography,Romance,
2292;Furious 6;2013;Action,Thriller,Crime,
2490;Furious Seven;2015;Action,Thriller,Crime,
2481;Fury;2014;Drama,War,Action,
2116;G.I. Joe: Retaliation;2013;Adventure,Sci_Fi,Action,Thriller,
1161;G.O.R.A.;2004;Comedy,Adventure,Sci_Fi,
2410;Gabbar Singh;2012;Comedy,Action,
1643;Gake no ue no Ponyo;2008;Animation,Family,Fantasy,
1747;Gamer;2009;Sci_Fi,Action,Thriller,
648;Gangs of New York;2002;Drama,History,Crime,
1955;Gangster Squad;2013;Drama,Action,Thriller,Crime,
988;Garden State;2004;Comedy,Drama,Romance,
1407;Garfield: A Tail of Two Kitties;2006;Comedy,Family,Fantasy,
1642;Gekijouban Poketto monsutâ Adobansu jenerêshon: Myuu to hadou no yuusha Rukario;2005;Animation,Adventure,Family,Action,Fantasy,
1338;Gekijouban Poketto monsutâ Adobansu jenerêshon: Rekkuu no houmonsha Deokishisu;2004;Animation,Adventure,Sci_Fi,Mystery,
677;Gekijô-ban poketto monsutâ: Kesshô-tô no teiô;2000;Animation,Adventure,Sci_Fi,Family,Action,Fantasy,
628;Get Carter;2000;Drama,Action,Thriller,Crime,
2462;Get Hard;2015;Comedy,Crime,
1321;Get Rich or Die Tryin';2005;Drama,Biography,Music,Crime,
1308;Get Smart;2008;Comedy,Adventure,Action,Romance,Thriller,
1301;Ghilli;2004;Comedy,Action,Romance,Sport,
1774;Ghost Rider: Spirit of Vengeance;2011;Action,Fantasy,Thriller,
844;Ghost Ship;2002;Horror,Mystery,
523;Ghost World;2001;Comedy,Drama,
555;Gladiator;2000;Drama,Action,
2297;Glee: The 3D Concert Movie;2011;Documentary,Music,
288;Glitter;2001;Drama,Romance,Music,
1142;Gnomeo & Juliet;2011;Comedy,Animation,Family,Romance,
2458;God's Not Dead;2014;Drama,
2507;God's Pocket;2014;Drama,Crime,
922;Gojira X Mekagojira;2002;Sci_Fi,Action,Thriller,
737;Gojira tai Megagirasu: Jî shômetsu sakusen;2000;Horror,Sci_Fi,Action,
1211;Gojira: Fainaru uôzu;2004;Adventure,Sci_Fi,Action,Fantasy,Thriller,
2400;Gone Girl;2014;Drama,Mystery,Thriller,
587;Gone in Sixty Seconds;2000;Action,Thriller,Crime,
879;Good Bye Lenin!;2003;Comedy,Drama,Romance,
1759;Goosebumps;2015;Comedy,Horror,Adventure,Action,Fantasy,
821;Gosford Park;2001;Drama,Mystery,
1029;Gothika;2003;Horror,Thriller,
1350;Gracie;2007;Drama,Biography,Sport,
1864;Gran Torino;2008;Drama,
2045;Gravity;2013;Sci_Fi,Thriller,
1815;Green Lantern;2011;Adventure,Sci_Fi,Action,Romance,Thriller,
1684;Green Zone;2010;Drama,War,Action,Thriller,
1983;Grown Ups;2010;Comedy,
2376;Grown Ups 2;2013;Comedy,
2189;Grudge Match;2013;Comedy,Sport,
2330;Guardians of the Galaxy;2014;Adventure,Sci_Fi,Action,
1113;Guess Who;2005;Comedy,Romance,
1954;Gulliver's Travels;2010;Comedy,Adventure,Family,Fantasy,
1456;Gwoemul;2006;Drama,Horror,Sci_Fi,Action,
1739;Hachi: A Dog's Tale;2009;Drama,Family,
1313;Hairspray;2007;Comedy,Romance,Musical,
1495;Hall Pass;2011;Comedy,Romance,
1122;Halloween;2007;Horror,
1945;Halloween II;2009;Horror,
660;Halloween: Resurrection;2002;Comedy,Horror,Thriller,
1377;Hancock;2008;Action,Fantasy,
526;Hanging Up;2000;Comedy,Drama,
1717;Hanna;2011;Adventure,Action,Thriller,
1799;Hannah Montana: The Movie;2009;Comedy,Drama,Family,Romance,Music,
642;Hannibal;2001;Drama,Thriller,Crime,
1091;Hannibal Rising;2007;Drama,Thriller,Crime,
2022;Hansel & Gretel: Witch Hunters;2013;Horror,Action,Fantasy,
900;Happily N'Ever After;2006;Comedy,Animation,Adventure,Family,Fantasy,
2002;Happy Feet Two;2011;Comedy,Animation,Family,Musical,
862;Harry Potter and the Chamber of Secrets;2002;Adventure,Family,Fantasy,Mystery,
1673;Harry Potter and the Deathly Hallows: Part 1;2010;Adventure,Family,Fantasy,Mystery,
1861;Harry Potter and the Deathly Hallows: Part 2;2011;Drama,Adventure,Fantasy,Mystery,
1123;Harry Potter and the Order of the Phoenix;2007;Adventure,Family,Fantasy,Mystery,
692;Harry Potter and the Sorcerer's Stone;2001;Adventure,Family,Fantasy,
1336;Harsh Times;2005;Drama,Action,Thriller,Crime,
724;Hart's War;2002;Drama,War,
1027;Hauru no ugoku shiro;2004;Animation,Adventure,Family,Romance,Fantasy,
1721;He's Just Not That Into You;2009;Comedy,Drama,Romance,
2300;Heaven Is for Real;2014;Drama,
542;Hellboy;2004;Sci_Fi,Action,Fantasy,
1257;Hellboy II: The Golden Army;2008;Adventure,Sci_Fi,Action,Fantasy,
2254;Her;2013;Short,Drama,Horror,Sci_Fi,Romance,
1215;Herbie Fully Loaded;2005;Comedy,Adventure,Family,Romance,Sport,Fantasy,
2177;Here Comes the Boom;2012;Comedy,Action,Sport,
1869;Hereafter;2010;Drama,Fantasy,
934;Hidalgo;2004;Adventure,Action,Western,
1152;Hide and Seek;2005;Horror,Mystery,Thriller,
1949;Hierro;2009;Mystery,Thriller,
747;High Crimes;2002;Drama,Mystery,Thriller,Crime,
1695;High School Musical 3: Senior Year;2008;Comedy,Drama,Family,Romance,Musical,
1267;Hirsiz Var!;2005;Comedy,Adventure,Crime,
912;Holes;2003;Comedy,Drama,Adventure,Family,Mystery,
530;Hollow Man;2000;Sci_Fi,Thriller,
871;Home on the Range;2004;Comedy,Animation,Family,Music,Western,
1626;Hoodwinked Too! Hood vs. Evil;2011;Comedy,Animation,Family,
1361;Hoodwinked!;2005;Comedy,Animation,Family,
2011;Hop;2011;Comedy,Animation,Adventure,Family,Fantasy,
2086;Hope Springs;2012;Comedy,Drama,Romance,
2069;Horrible Bosses;2011;Comedy,Crime,
2365;Horrible Bosses 2;2014;Comedy,Crime,
1389;Horton Hears a Who!;2008;Comedy,Animation,Adventure,Family,Fantasy,
1014;Hostage;2005;Short,Drama,Mystery,Thriller,Crime,
1385;Hostel;2005;Horror,
1537;Hostel: Part II;2007;Horror,
1309;Hot Fuzz;2007;Comedy,Action,
1895;Hot Tub Time Machine;2010;Comedy,Sci_Fi,
1194;Hotel Rwanda;2004;Drama,History,War,
2456;Hotel Transylvania 2;2015;Comedy,Animation,Adventure,Family,Fantasy,
1568;Hotel for Dogs;2009;Comedy,Family,
2114;House at the End of the Street;2012;Horror,Mystery,Thriller,
727;House of 1000 Corpses;2003;Horror,
1201;House of Wax;2005;Horror,Thriller,
550;How the Grinch Stole Christmas;2000;Comedy,Family,Fantasy,
1408;How to Lose Friends & Alienate People;2008;Comedy,Drama,Romance,
725;How to Lose a Guy in 10 Days;2003;Comedy,Romance,
2175;How to Train Your Dragon 2;2014;Comedy,Animation,Adventure,Family,Action,Fantasy,
1762;Hua pi;2008;Drama,Action,Thriller,
2430;Hua pi 2;2012;Romance,Fantasy,Mystery,
1700;Hugo;2011;Drama,Adventure,Family,Mystery,
2358;Hundraåringen som klev ut genom fönstret och försvann;2013;Comedy,Adventure,
1494;I Am Legend;2007;Drama,Sci_Fi,Thriller,
2053;I Am Number Four;2011;Adventure,Sci_Fi,Action,Thriller,
807;I Am Sam;2001;Drama,
874;I Capture the Castle;2003;Drama,Romance,
1662;I Know Who Killed Me;2007;Mystery,Thriller,Crime,
1830;I Love You, Man;2009;Comedy,Romance,
1550;I Now Pronounce You Chuck & Larry;2007;Comedy,Romance,
1904;I Spit on Your Grave;2010;Horror,Thriller,Crime,
1097;I'm Not There.;2007;Drama,Biography,Music,
2016;I, Frankenstein;2014;Sci_Fi,Action,Fantasy,Thriller,
1021;I, Robot;2004;Sci_Fi,Action,Mystery,Thriller,
783;Ice Age;2002;Comedy,Animation,Adventure,Family,
2196;Ice Age: Continental Drift;2012;Comedy,Animation,Adventure,Family,
1345;Ice Age: The Meltdown;2006;Comedy,Animation,Adventure,Family,Action,Fantasy,
905;Identity;2003;Mystery,Thriller,
2334;Identity Thief;2013;Comedy,Crime,
1975;If I Stay;2014;Drama,Romance,Fantasy,Music,
823;Igby Goes Down;2002;Comedy,Drama,
1913;Immortals;2011;Drama,Action,Fantasy,
2168;In Time;2011;Sci_Fi,Action,Thriller,
711;In the Bedroom;2001;Drama,Crime,
608;In the Cut;2003;Mystery,Thriller,
1914;Incendies;2010;Drama,War,Mystery,
1982;Inception;2010;Sci_Fi,Action,Mystery,Thriller,
1090;Indiana Jones and the Kingdom of the Crystal Skull;2008;Adventure,Action,
1061;Inglourious Basterds;2009;Drama,War,Adventure,
2250;Inherent Vice;2014;Comedy,Drama,Romance,Mystery,Crime,
1529;Inkheart;2008;Adventure,Family,Fantasy,
2172;Inside Job;2010;Documentary,Crime,
2340;Inside Llewyn Davis;2013;Drama,Music,
1402;Inside Man;2006;Drama,Mystery,Thriller,Crime,
2386;Insidious: Chapter 2;2013;Horror,Thriller,
2541;Insidious: Chapter 3;2015;Drama,Horror,Thriller,
812;Insomnia;2002;Mystery,Thriller,
2504;Insurgent;2015;Adventure,Sci_Fi,Thriller,
987;Intermission;2003;Comedy,Drama,Romance,Thriller,Crime,
1598;Interstellar;2014;Drama,Adventure,Sci_Fi,
2353;Into the Storm;2014;Action,Thriller,
2371;Into the Woods;2014;Adventure,Musical,Fantasy,
466;Intolerable Cruelty;2003;Comedy,Romance,Crime,
2202;Intouchables;2011;Comedy,Drama,Biography,
1764;Invictus;2009;Drama,History,Biography,Sport,
1886;Io sono l'amore;2009;Drama,Romance,
476;Isn't She Great;2000;Comedy,Biography,Romance,
2545;It Follows;2014;Horror,Mystery,Thriller,
798;It's All About Love;2003;Drama,Sci_Fi,Romance,Thriller,
1892;It's Complicated;2009;Comedy,Romance,
2151;J. Edgar;2011;Drama,Biography,Crime,
2368;Jab Tak Hai Jaan;2012;Drama,Romance,
1790;Jab We Met;2007;Comedy,Romance,
1571;Jack Reacher;2012;Action,Mystery,Thriller,Crime,
1865;Jack Ryan: Shadow Recruit;2014;Action,Thriller,
1974;Jack the Giant Slayer;2013;Adventure,Fantasy,
1801;Jackass 3D;2010;Comedy,Documentary,Action,
951;Jackass: The Movie;2002;Comedy,Documentary,
2354;Jagten;2012;Drama,
1851;Jalsa;2008;Comedy,Drama,Action,Romance,Musical,
1283;Jarhead;2005;Drama,War,
636;Jason X;2001;Horror,Sci_Fi,Thriller,
758;Jeepers Creepers;2001;Horror,
881;Jeepers Creepers II;2003;Horror,Thriller,
1647;Ji jie hao;2007;Drama,History,War,Biography,Action,
784;Jimmy Neutron: Boy Genius;2001;Comedy,Animation,Adventure,Sci_Fi,Family,Action,
2008;Jin ling shi san chai;2011;Drama,History,War,
2269;Jodaeiye Nader az Simin;2011;Drama,
1217;John Carter;2012;Adventure,Sci_Fi,Action,Fantasy,
726;John Q;2002;Drama,Thriller,Crime,
1416;John Tucker Must Die;2006;Comedy,Romance,
2506;John Wick;2014;Action,Thriller,
799;Johnny English;2003;Comedy,Adventure,Action,
2166;Johnny English Reborn;2011;Comedy,Drama,Adventure,Action,Crime,
1998;Journey 2: The Mysterious Island;2012;Comedy,Adventure,Sci_Fi,Family,Action,Fantasy,
622;Joy Ride;2001;Mystery,Thriller,
1307;Joyeux Noël;2005;Drama,History,War,Romance,Music,
791;Juana la Loca;2001;Drama,History,Biography,Romance,
1819;Julie & Julia;2009;Drama,Biography,Romance,
1284;Junebug;2005;Comedy,Drama,
1455;Juno;2007;Comedy,Drama,Romance,
2152;Jupiter Ascending;2015;Adventure,Sci_Fi,Action,
527;Jurassic Park III;2001;Adventure,Sci_Fi,Action,Thriller,
1105;Jurassic World;2015;Adventure,Sci_Fi,Action,Thriller,
2102;Just Go with It;2011;Comedy,Romance,
1310;Just Like Heaven;2005;Comedy,Romance,Fantasy,
893;Just Married;2003;Comedy,Romance,
2539;Justin Bieber's Believe;2013;Documentary,Music,
2213;Justin Bieber: Never Say Never;2011;Documentary,Music,
2171;Justin and the Knights of Valour;2013;Animation,Adventure,Family,
780;K-19: The Widowmaker;2002;Drama,History,War,Thriller,
1133;Kaakha..Kaakha: The Police;2003;Drama,Action,Romance,Musical,Thriller,Crime,
2262;Kaavalan;2011;Drama,Action,Romance,
2466;Kaguyahime no monogatari;2013;Drama,Animation,Fantasy,
746;Kangaroo Jack;2003;Comedy,Adventure,Action,Crime,
2109;Kari-gurashi no Arietti;2010;Animation,Adventure,Family,Fantasy,
0;Kate & Leopold;2001;Comedy,Romance,Fantasy,
2383;Katy Perry: Part of Me;2012;Documentary,Music,
1645;Katyn;2007;Drama,History,War,
2329;Kaze tachinu;2013;Drama,Animation,War,Biography,Romance,
2470;Kevin Hart: Let Me Explain;2013;Comedy,Documentary,
2063;Khumba;2013;Animation,Adventure,Family,
1910;Kick-Ass;2010;Comedy,Action,
2182;Kick-Ass 2;2013;Comedy,Action,Crime,
776;Kill Bill: Vol. 1;2003;Action,
1143;Kill Bill: Vol. 2;2004;Action,Thriller,Crime,
2039;Killer Elite;2011;Action,Thriller,Crime,
2224;Killer Joe;2011;Drama,Thriller,Crime,
1795;Killers;2010;Comedy,Action,Romance,Thriller,
2237;Killing Them Softly;2012;Thriller,Crime,
1058;King Kong;2005;Drama,Adventure,Action,Romance,
947;Kingdom of Heaven;2005;Drama,History,War,Adventure,Action,
2489;Kingsman: The Secret Service;2014;Comedy,Adventure,Action,Thriller,Crime,
1121;Kiss Kiss Bang Bang;2005;Comedy,Mystery,Crime,
793;Kiss of the Dragon;2001;Drama,Action,Thriller,Crime,
1726;Knight and Day;2010;Comedy,Action,Romance,
1482;Knocked Up;2007;Comedy,Drama,Romance,
1375;Knowing;2009;Drama,Horror,Sci_Fi,Mystery,Thriller,
2253;Kokuriko-zaka kara;2011;Drama,Animation,Family,Romance,
2147;Kon-Tiki;2012;History,Adventure,
1125;Kontroll;2003;Comedy,Drama,Romance,Thriller,Crime,
1120;Kung fu;2004;Comedy,Action,Fantasy,Crime,
1844;Kurbaan;2009;Drama,Action,Romance,Thriller,Crime,
1889;Kuruvi;2008;Comedy,Drama,Action,
2054;L'arnacoeur;2010;Comedy,Romance,
1561;L'illusionniste;2010;Drama,Animation,
2415;La belle et la bête;2014;Romance,Fantasy,
2569;La famille Bélier;2014;Comedy,Drama,Music,
2425;La grande bellezza;2013;Drama,
803;La mala educación;2004;Drama,Romance,Mystery,Thriller,Crime,
1315;La marche de l'empereur;2005;Documentary,
2298;La migliore offerta;2013;Drama,Romance,Mystery,Crime,
1849;La piel que habito;2011;Thriller,
1957;La posesión de Emma Evans;2010;Horror,
1584;La terza madre;2007;Horror,
1286;La tigre e la neve;2005;Comedy,Drama,War,Romance,
2252;La vérité si je mens! 3;2012;Comedy,
1033;Ladder 49;2004;Drama,Action,Thriller,
1285;Land of the Dead;2005;Horror,
1417;Land of the Lost;2009;Comedy,Adventure,Sci_Fi,
958;Lara Croft Tomb Raider: The Cradle of Life;2003;Adventure,Action,Fantasy,
493;Lara Croft: Tomb Raider;2001;Adventure,Action,Fantasy,Thriller,
1958;Largo Winch II;2011;Adventure,Action,Thriller,
2115;Larry Crowne;2011;Comedy,Drama,Romance,
1585;Lars and the Real Girl;2007;Comedy,Drama,
1863;Last Vegas;2013;Comedy,
1858;Law Abiding Citizen;2009;Drama,Thriller,Crime,
1871;Lawless;2012;Drama,Crime,
952;Laws of Attraction;2004;Comedy,Romance,
637;Le fabuleux destin d'Amélie Poulain;2001;Comedy,Romance,
682;Le pacte des loups;2001;Drama,Horror,Adventure,
882;Le peuple migrateur;2001;Documentary,
720;Legally Blonde;2001;Comedy,Romance,
989;Legally Blonde 2: Red, White & Blonde;2003;Comedy,
2373;Legenda No. 17;2013;Drama,Biography,Sport,
1649;Legends of Oz: Dorothy's Return;2013;Animation,Family,Musical,
1751;Legion;2010;Horror,Action,Fantasy,
2216;Les Misérables;2012;Drama,Romance,Musical,
1838;Les aventures extraordinaires d'Adèle Blanc-Sec;2010;Adventure,Action,Fantasy,Mystery,
1368;Les bronzés 3: amis pour la vie;2006;Comedy,
1117;Les choristes;2004;Drama,Music,
1006;Les invasions barbares;2003;Comedy,Drama,Romance,Mystery,Crime,
2032;Les petits mouchoirs;2010;Comedy,Drama,
2299;Let's Be Cops;2014;Comedy,
1538;Letters from Iwo Jima;2006;Drama,History,War,
1657;Letters to Juliet;2010;Comedy,Drama,Romance,
1551;License to Wed;2007;Comedy,Romance,
1761;Life as We Know It;2010;Comedy,Drama,Romance,
762;Life as a House;2001;Drama,
1403;Life of Pi;2012;Drama,Adventure,Fantasy,
827;Life or Something Like It;2002;Comedy,Romance,
1356;Lincoln;2012;Drama,History,War,Biography,
1227;Little Children;2006;Drama,Romance,
1704;Little Fockers;2010;Comedy,Romance,
1380;Little Miss Sunshine;2006;Comedy,Drama,
1320;Littleman;2006;Comedy,Fantasy,Crime,
1003;Live Free or Die Hard;2007;Adventure,Action,Thriller,
2550;Living Legends;2014;Comedy,Drama,Romance,
2178;Lo imposible;2012;Drama,Thriller,
2123;Lockout;2012;Drama,Sci_Fi,Action,Thriller,
1873;London Boulevard;2010;Drama,Crime,
1787;Lone Survivor;2013;Drama,War,Biography,Action,Thriller,
1354;Lonely Hearts;2006;Drama,Romance,Thriller,Crime,
2204;Long men fei jia;2011;Adventure,Action,
1924;Looper;2012;Sci_Fi,Action,Thriller,Crime,
1213;Lord of War;2005;Drama,Thriller,Crime,
1669;Los abrazos rotos;2009;Drama,Romance,Thriller,
2393;Los amantes pasajeros;2013;Comedy,
649;Loser;2000;Comedy,Romance,
516;Lost Souls;2000;Drama,Horror,Romance,Thriller,
991;Lost in Translation;2003;Drama,
1546;Love & Other Drugs;2010;Comedy,Drama,Romance,
923;Love Actually;2003;Comedy,Drama,Romance,
1502;Love in the Time of Cholera;2007;Drama,Romance,
906;Luther;2003;Drama,History,Biography,
1824;Låt den rätte komma in;2008;Drama,Horror,Romance,
2596;MSG: The Messenger;2015;Comedy,Drama,Action,Fantasy,
1711;Machete;2010;Action,Thriller,Crime,
2328;Machete Kills;2013;Action,Thriller,Crime,
2118;Machine Gun Preacher;2011;Drama,Biography,Action,Crime,
1992;Mad Max: Fury Road;2015;Adventure,Sci_Fi,Action,Thriller,
1925;Madagascar 3: Europe's Most Wanted;2012;Comedy,Animation,Adventure,Family,
2244;Madea's Big Happy Family;2011;Comedy,Drama,
1409;Madea's Family Reunion;2006;Comedy,Drama,Romance,
2382;Madea's Witness Protection;2012;Comedy,Drama,Crime,
2038;Magadheera;2009;Drama,Action,Romance,
2294;Magic Mike;2012;Comedy,Drama,
2401;Magic Mike XXL;2015;Comedy,Drama,Music,
730;Maid in Manhattan;2002;Comedy,Drama,Romance,
765;Main Prem Ki Diwani Hoon;2003;Drama,Romance,Musical,
2119;Maleficent;2014;Adventure,Family,Action,Romance,Fantasy,
1573;Mamma Mia!;2008;Comedy,Romance,Musical,
1469;Man cheng jin dai huang jin jia;2006;Drama,Romance,
1559;Man of Steel;2013;Adventure,Sci_Fi,Action,Fantasy,
972;Man on Fire;2004;Drama,Action,Thriller,Crime,
2106;Man on a Ledge;2012;Action,Thriller,Crime,
2519;Mandariinid;2013;Drama,War,
2411;Mandela: Long Walk to Freedom;2013;Drama,History,Biography,
1017;Manderlay;2005;Drama,
2149;Margin Call;2011;Drama,Thriller,
1601;Marley & Me;2008;Comedy,Drama,Family,Romance,
1993;Marmaduke;2010;Comedy,Family,
1583;Married Life;2007;Drama,Romance,Crime,
2486;Maryan;2013;Drama,Romance,Thriller,
911;Master and Commander: The Far Side of the World;2003;Drama,War,Adventure,Action,
1274;Match Point;2005;Drama,Romance,Thriller,
960;Matchstick Men;2003;Comedy,Drama,Thriller,Crime,
1454;Max Payne;2008;Drama,Action,Mystery,Thriller,Crime,
2592;Maze Runner: The Scorch Trials;2015;Sci_Fi,Action,Thriller,
575;Me, Myself & Irene;2000;Comedy,
1138;Mean Girls;2004;Comedy,
853;Mean Machine;2001;Comedy,Drama,Sport,
1557;Meet Dave;2008;Comedy,Adventure,Sci_Fi,Family,Romance,
850;Meet the Fockers;2004;Comedy,Romance,
639;Meet the Parents;2000;Comedy,
1775;Meet the Spartans;2008;Comedy,
629;Memento;2000;Mystery,Thriller,
1204;Memoirs of a Geisha;2005;Drama,Romance,
2007;Men in Black 3;2012;Comedy,Sci_Fi,Action,
424;Men in Black II;2002;Comedy,Adventure,Sci_Fi,Action,Fantasy,
615;Men of Honor;2000;Drama,Biography,
1322;Miami Vice;2006;Action,Thriller,Crime,
1447;Michael Clayton;2007;Drama,Mystery,Thriller,Crime,
1911;Middle Men;2009;Comedy,Drama,Crime,
2140;Midnight in Paris;2011;Comedy,Romance,Fantasy,
1229;Million Dollar Baby;2004;Drama,Sport,
865;Mindhunters;2004;Mystery,Thriller,Crime,
2406;Minions;2015;Comedy,Animation,Family,
1034;Miracle;2004;Drama,History,Biography,Sport,
640;Miss Congeniality;2000;Comedy,Action,Crime,
1168;Miss Congeniality 2: Armed and Fabulous;2005;Comedy,Action,Crime,
576;Mission to Mars;2000;Drama,Adventure,Sci_Fi,Thriller,
1890;Mission: Impossible - Ghost Protocol;2011;Adventure,Action,Thriller,
2434;Mission: Impossible - Rogue Nation;2015;Adventure,Action,Thriller,
399;Mission: Impossible II;2000;Adventure,Action,Thriller,
937;Mission: Impossible III;2006;Adventure,Action,Thriller,
888;Mona Lisa Smile;2003;Drama,
1866;Moneyball;2011;Drama,Biography,Sport,
1268;Mongol;2007;Drama,History,War,Adventure,Biography,
537;Monkeybone;2001;Comedy,Animation,Fantasy,
1015;Monster;2003;Drama,Biography,Crime,
1106;Monster-in-Law;2005;Comedy,
2043;Monsters University;2013;Comedy,Animation,Adventure,Family,Fantasy,
607;Monsters, Inc.;2001;Comedy,Animation,Adventure,Family,Fantasy,
1770;Monte Carlo;2011;Comedy,Adventure,Romance,
2228;Moonrise Kingdom;2012;Comedy,Drama,Adventure,Romance,
1807;Morning Glory;2010;Comedy,Drama,Romance,
2525;Mortdecai;2015;Comedy,Action,Romance,Mystery,
1011;Mou gaan dou;2002;Mystery,Thriller,Crime,
614;Moulin Rouge!;2001;Drama,Romance,Musical,
1045;Mr. & Mrs. Smith;2005;Comedy,Action,Romance,Thriller,Crime,
1397;Mr. Bean's Holiday;2007;Comedy,Family,
820;Mr. Deeds;2002;Comedy,Romance,
1418;Mr. Magorium's Wonder Emporium;2007;Comedy,Family,Fantasy,
1504;Mr. Nobody;2009;Drama,Sci_Fi,Romance,Fantasy,
1638;Mr. Peabody & Sherman;2014;Comedy,Animation,Adventure,Sci_Fi,Family,
1996;Mr. Popper's Penguins;2011;Comedy,Family,Fantasy,
2454;Mr. Turner;2014;Drama,History,Biography,
541;Mulholland Dr.;2001;Drama,Mystery,Thriller,
1245;Munich;2005;Drama,History,Thriller,
2405;Muppets Most Wanted;2014;Comedy,Adventure,Family,Musical,Crime,
1547;Music and Lyrics;2007;Comedy,Romance,Music,
2589;Mustang;2015;Drama,
1521;Mutant Chronicles;2008;Horror,Adventure,Sci_Fi,Action,
